Delegation,PrimDrop%,SecDrop%,TotalDrop%,Poverty%,Governorate,District
Sejnane,0.4,8.5,3.9,39.9,Bizerte,1
Joumine,0.3,10.9,4.8,36.6,Bizerte,1
Ghazala,0.2,7.7,3.2,34.0,Bizerte,1
Mateur,0.1,5.2,2.6,19.3,Bizerte,1
Utique,0.2,7.3,2.7,19.1,Bizerte,1
Bizerte South,0.3,4.4,1.7,15.9,Bizerte,1
El Alia,0.5,7.7,3.4,15.1,Bizerte,1
Ghar El Melh,0.7,8.6,3.6,14.5,Bizerte,1
Menzel Bourguiba,0.3,7.4,3.9,12.8,Bizerte,1
Ras Jebel,0.2,7.1,3.4,12.2,Bizerte,1
Tinja,0.1,4.3,2.1,11.3,Bizerte,1
Zarzouna,0.2,3.8,1.3,10.9,Bizerte,1
Menzel Jemil,0.2,7.4,3.8,10.6,Bizerte,1
Bizerte North,0.2,6.5,3.7,5.3,Bizerte,1
Amdoun,0.5,7.3,3.4,37.6,Beja,1
Nefza,0.5,7.5,3.8,37.5,Beja,1
Goubellate,0.6,11.1,5.0,36.9,Beja,1
Teboursouk,0.1,7.6,3.5,27.3,Beja,1
Thibar,0.4,7.0,3.1,25.8,Beja,1
Testour,0.3,6.4,2.9,25.5,Beja,1
Beja North,0.1,6.5,2.4,23.0,Beja,1
Beja South,0.1,7.0,4.5,18.5,Beja,1
Mejez El Bab,0.5,5.5,2.6,17.1,Beja,1
Fernana,1.1,7.7,3.8,36.9,Jendouba,1
Ain Draham,0.4,8.3,4.4,27.2,Jendouba,1
Ghardimaou,0.8,10.6,5.1,24.8,Jendouba,1
Balta Bouaouene,0.6,5.4,3.3,23.1,Jendouba,1
Oued Mliz,0.7,9.9,4.8,21.0,Jendouba,1
Jendouba North,0.3,10.6,5.0,19.6,Jendouba,1
Tabarka,0.2,6.5,3.2,16.7,Jendouba,1
Bou Salem,0.3,8.1,3.4,16.6,Jendouba,1
Jendouba South,0.3,7.7,4.2,10.7,Jendouba,1
Nebeur,0.7,9.6,3.4,45.4,Kef,1
Sakiet Sidi Youssef,0.4,8.2,5.3,39.7,Kef,1
Dahmani,1.0,7.7,3.0,38.4,Kef,1
Tajerouine,0.4,8.6,1.4,37.7,Kef,1
El Ksour,0.5,6.7,5.5,37.1,Kef,1
Kalaa Khasba,0.4,5.4,6.0,35.3,Kef,1
Le Sers,0.4,9.4,5.7,34.4,Kef,1
Kalaat Senan,0.1,9.2,1.7,32.8,Kef,1
Jerissa,0.3,4.3,5.7,31.9,Kef,1
El Kef East,0.2,6.2,3.1,24.6,Kef,1
El Kef West,0.2,8.5,4.4,21.9,Kef,1
Sijoumi,1.1,4.1,2.7,11.5,Tunis,2
Jebel Jloud,0.4,8.0,3.9,9.5,Tunis,2
Sidi Hassine,0.3,8.4,3.6,9.4,Tunis,2
La Medina,0.1,6.7,4.8,6.6,Tunis,2
El Omrane,0.3,6.7,3.3,6.3,Tunis,2
El Harairia,0.3,6.6,3.0,6.1,Tunis,2
Kabbaria,0.2,5.2,2.4,5.3,Tunis,2
Bab Souika,0.2,12.1,6.2,4.5,Tunis,2
Sidi El Bechir,0.1,8.4,4.3,4.2,Tunis,2
Ezzouhour,0.1,9.3,3.5,4.0,Tunis,2
El Ouerdia,0.1,6.8,3.4,3.9,Tunis,2
El Omrane Superior,0.1,6.5,3.2,3.5,Tunis,2
El Kram,0.1,3.8,1.7,3.0,Tunis,2
El Marsa,0.2,6.7,3.4,2.2,Tunis,2
Ettahrir,0.0,7.4,3.7,2.0,Tunis,2
Bardo,0.1,5.3,3.2,1.8,Tunis,2
Bab Bhar,0.1,4.5,2.8,1.6,Tunis,2
Carthage,0.0,6.5,3.6,1.6,Tunis,2
Cite El Khadra,0.1,4.1,1.7,1.4,Tunis,2
La Goulette,0.1,7.1,4.4,1.1,Tunis,2
El Menzah,0.0,1.7,1.1,0.2,Tunis,2
Kalaat El Andalous,0.4,8.3,3.8,12.5,Ariana,2
Ettadhamen,0.1,8.2,3.5,12.4,Ariana,2
Sidi Thabet,0.3,6.4,2.8,9.1,Ariana,2
Mnihla,0.1,8.9,3.9,8.8,Ariana,2
Raoued,0.1,5.9,2.6,6.9,Ariana,2
Soukra,0.2,7.7,3.0,4.8,Ariana,2
Ariana City,0.1,3.9,2.6,1.3,Ariana,2
Mornag,0.2,7.0,3.1,11.2,Ben Arous,2
Fouchana,0.1,5.6,2.4,7.3,Ben Arous,2
Mhamdia,0.2,10.6,4.6,7.1,Ben Arous,2
Hammamlif,0.2,7.1,4.0,6.4,Ben Arous,2
New Medina,0.1,5.1,2.3,5.2,Ben Arous,2
Ben Arous,0.1,4.8,2.3,5.0,Ben Arous,2
Hammam Echatt,0.2,7.5,3.7,5.0,Ben Arous,2
Rades,0.3,7.7,4.1,4.3,Ben Arous,2
Boumhel Bassatine,0.1,4.2,1.8,4.1,Ben Arous,2
Megrine,0.1,4.3,2.5,3.6,Ben Arous,2
El Mourouj,0.0,5.4,2.9,3.2,Ben Arous,2
Ezzahra,0.1,8.0,4.3,2.6,Ben Arous,2
Ennadhour,0.5,7.4,3.5,22.5,Zaghouan,2
Saouaf,0.2,9.0,3.4,19.5,Zaghouan,2
Bir Mcharga,0.2,9.4,3.6,15.8,Zaghouan,2
Zriba,0.3,5.2,2.2,13.0,Zaghouan,2
El Fahs,0.2,5.4,2.5,12.5,Zaghouan,2
Zaghouan,0.3,7.4,3.7,7.2,Zaghouan,2
Tebourba,0.2,8.8,4.5,15.2,Manouba,2
Battane,0.2,4.1,1.8,14.5,Manouba,2
Borj El Amri,0.2,10.7,4.4,12.1,Manouba,2
Jedaida,0.2,5.8,2.4,11.9,Manouba,2
Daouar Hicher,0.1,7.0,3.3,10.8,Manouba,2
Oued Ellil,0.2,5.5,2.5,8.2,Manouba,2
Mornaguia,0.2,6.0,2.9,7.8,Manouba,2
Manouba,0.1,8.2,4.7,3.8,Manouba,2
Takelsa,0.3,5.8,5.9,19.1,Nabeul,2
Hammam Ghezaz,0.1,6.2,2.9,16.0,Nabeul,2
Elmida,0.5,6.9,3.6,11.7,Nabeul,2
Haouaria,0.3,6.7,5.0,11.0,Nabeul,2
Kelibia,0.2,7.1,3.3,10.9,Nabeul,2
