theme_group,theme,path,indicator_key,name,full_name,unit,n_years,first_year,last_year,n_regions,max_region_level,completeness,score
education_health,Education,Education > Publique > Premier cycle de l'enseignement de base public > Nombres d'écoles,22242616,Nombres d'écoles,Nombre total d'écoles du premier cycle de l'enseignement de base public,Nombre,45,1980,2024,31,governorate,1.0,0.8589
education_health,Education,Education > Publique > Premier cycle de l'enseignement de base public > Nombres de locaux classes,22242716,Nombres de locaux classes,Nombre total des classes-élèves du premier cycle de l'enseignement de base public,Nombre,45,1980,2024,31,governorate,1.0,0.8589
education_health,Education,Education > Publique > Deuxième cycle de l'enseignement de base public et l'enseignement secondaire public > Nombre d'établissement,22243216,Nombre d'établissement,Nombre d'établissements de l'enseignement du deuxième cycle de l'enseignement de base et l'enseignement secondaire public,Nombre,45,1980,2024,31,governorate,1.0,0.8589
education_health,Education,Education > Publique > Deuxième cycle de l'enseignement de base public et l'enseignement secondaire public > Nombres de locaux classes,22243316,Nombres de locaux classes,Nombre de classes-élèves du second cycle de l'enseignement de base et l'enseignement secondaire public,Nombre,45,1980,2024,31,governorate,1.0,0.8589
education_health,Santé,Santé > Infrastructue sanitaire du secteur public > Hôpitaux généraux,22301216,Hôpitaux généraux,Le nombre d'hôpitaux publics,Nombre,27,1998,2024,31,governorate,1.0,0.7451
education_health,Santé,Santé > Infrastructue sanitaire du secteur public > Hôpitaux régionaux,22301416,Hôpitaux régionaux,Nombre d'hôpitaux publics régionaux,Nombre,27,1998,2024,31,governorate,1.0,0.7451
education_health,Santé,Santé > Infrastructue sanitaire du secteur public > Hôpitaux de circonscription,22301516,Hôpitaux de circonscription,Nombre d'hôpitaux de circonscription publics,Nombre,27,1998,2024,31,governorate,1.0,0.7451
education_health,Santé,Santé > Infrastructue sanitaire du secteur public > Centres de santé de base,22301616,Centres de santé de base,Nombre de centres de santé  de base publique,Nombre,27,1998,2024,31,governorate,1.0,0.7451
education_health,Santé,Santé > Infrastructue sanitaire du secteur public > Nombre de lits,22301016,Nombre de lits,Le nombre de lits pour le secteur de la santé publique,Nombre,27,1998,2024,31,governorate,1.0,0.7451
education_health,Santé,Santé > Infrastructue sanitaire du secteur public > Lits pour 1000 habitants,22301116,Lits pour 1000 habitants,Le nombre de lits pour mille habitants de la santé du secteur public,Nombre de Lits par 1000 habitants,27,1998,2024,31,governorate,1.0,0.7451
education_health,Santé,Santé > Infrastructue sanitaire du secteur privé > Cliniques,22301816,Cliniques,Nombre de cliniques,Nombre,27,1998,2024,31,governorate,1.0,0.7451
